companyName,industry,revenue,debtToEquity,yearsInBusiness,paymentHistory,outstandingDebt,creditUtilization,latePayments,collateralValue,annualGrowth,creditScore,riskLevel,loanEligibility
Company 1510,healthcare,88713.03,0.494,4,63.51,21034.83,64.99,2,264783.76,17.04,591,moderate,review
Company 1511,technology,312111.45,0.228,43,48.22,605834.64,5.86,5,164516.35,1.44,577,moderate,review
Company 1512,technology,178076.16,0.745,32,57.47,319875.98,75.83,3,325650.51,-3.85,537,low,review
Company 1513,manufacturing,13137.31,0.157,24,67.6,14986.87,52.31,1,28530.97,0.53,639,moderate,review
Company 1514,healthcare,186625.79,0.364,20,31.01,128368.48,49.08,2,519821.08,23.23,568,moderate,review
Company 1515,services,126642.11,0.453,5,49.92,180630.26,56.25,0,267258.01,4.18,553,moderate,review
Company 1516,retail,17391.9,0.541,40,99.27,29277.73,51.48,4,34652.01,32.87,682,moderate,review
Company 1517,technology,46978.19,1.614,36,34.02,74865.88,34.14,5,58764.93,-3.56,505,moderate,review
Company 1518,services,143834.4,0.05,46,52.36,281396.19,30.34,0,284404.26,8.26,685,moderate,review
Company 1519,technology,92999.26,2.243,36,52.5,121831.38,42.38,3,220803.84,-1.5,556,high,denied
Company 1520,technology,21009.37,0.729,47,56.56,14923.55,85.54,6,37585.33,36.12,581,high,denied
Company 1521,retail,97596.19,0.954,44,77.93,102091.71,17.18,3,239021.68,7.7,644,moderate,review
Company 1522,manufacturing,10829.18,0.135,21,47.34,17879.0,34.23,2,7299.22,36.92,627,moderate,review
Company 1523,services,50098.3,0.91,35,62.22,30266.93,22.31,2,67053.74,-1.3,642,moderate,review
Company 1524,healthcare,148801.04,0.504,13,75.14,80304.31,43.44,4,431453.81,27.91,597,moderate,review
Company 1525,healthcare,60761.73,0.146,39,52.56,89756.35,17.01,1,79513.47,6.77,655,moderate,denied
Company 1526,technology,40168.96,0.97,30,96.41,37936.06,73.47,1,82532.69,17.55,632,low,review
Company 1527,retail,121963.49,0.15,22,98.58,201420.72,14.31,2,219499.14,-13.3,669,moderate,review
Company 1528,manufacturing,130587.85,0.158,31,38.38,48709.11,64.87,3,371073.21,10.23,572,moderate,review
Company 1529,technology,170762.97,3.666,14,54.07,125992.9,29.09,1,154870.01,-11.04,469,high,denied
Company 1530,retail,120508.3,0.723,31,44.56,73436.53,47.5,5,150451.03,8.86,521,high,approved
Company 1531,retail,142215.65,1.641,24,43.08,202792.33,23.0,2,377716.69,-17.78,511,high,denied
Company 1532,technology,107616.24,0.069,16,64.37,166022.32,70.72,2,233043.65,3.59,602,moderate,review
Company 1533,manufacturing,74044.6,0.51,48,69.47,71557.08,90.34,3,137546.99,21.43,583,moderate,review
Company 1534,healthcare,64318.8,0.121,4,59.8,64849.8,24.96,0,95658.19,13.21,636,moderate,review
Company 1535,technology,49522.99,0.202,38,49.08,17375.66,90.78,3,75685.42,-13.51,556,moderate,review
Company 1536,manufacturing,22699.66,1.463,11,49.5,32539.36,34.27,1,64405.91,-23.48,537,high,denied
Company 1537,healthcare,27882.4,0.478,11,99.45,55357.81,55.21,2,60719.19,12.45,635,moderate,review
Company 1538,healthcare,47781.24,5.416,8,94.66,75401.26,68.14,4,134874.31,28.72,495,high,denied
Company 1539,services,72632.06,0.091,6,35.31,38052.91,22.93,2,212845.74,-9.46,570,moderate,review
Company 1540,retail,189595.87,0.526,7,75.96,243428.43,45.03,1,354074.08,36.46,651,moderate,review
Company 1541,services,57905.19,0.311,41,61.98,38241.62,11.1,1,117241.92,4.9,633,moderate,review
Company 1542,technology,133623.45,0.279,46,78.22,21023.71,67.73,3,286076.09,-24.38,623,moderate,review
Company 1543,retail,141981.57,0.245,29,71.79,62708.07,42.5,1,368857.11,-18.41,631,moderate,review
Company 1544,technology,49753.82,0.915,1,92.25,14673.78,85.25,2,106855.25,16.55,588,moderate,review
Company 1545,manufacturing,96350.91,0.249,43,34.69,45503.82,29.66,1,75791.42,6.94,590,low,review
Company 1546,retail,49275.27,1.047,30,54.47,79414.41,88.12,1,140733.87,27.23,591,low,review
Company 1547,technology,172423.46,0.499,26,98.98,113175.49,17.69,3,371113.21,-12.97,632,moderate,denied
Company 1548,healthcare,99575.82,0.978,47,42.76,153185.05,59.63,0,266344.73,6.78,596,moderate,review
Company 1549,retail,23100.58,0.206,21,38.91,43956.68,32.7,4,36079.51,5.1,551,moderate,review
Company 1550,retail,68133.19,2.413,18,81.03,81154.73,21.36,2,114926.44,2.85,583,moderate,review
Company 1551,technology,223795.89,1.604,39,84.42,228781.39,13.45,3,497306.01,-0.74,628,moderate,review
Company 1552,retail,51793.25,0.819,26,77.06,78997.23,64.01,4,126427.85,-0.44,587,moderate,denied
Company 1553,retail,85662.64,1.748,36,84.33,24368.56,25.99,2,59633.77,7.62,650,moderate,review
Company 1554,retail,92661.01,0.758,35,78.56,84655.37,56.55,2,140692.5,9.54,627,moderate,review
Company 1555,technology,26126.4,0.05,42,39.5,27374.38,93.15,4,63347.15,8.79,534,high,denied
Company 1556,healthcare,90090.17,0.72,16,72.58,151261.17,33.44,2,268521.85,23.09,626,moderate,review
Company 1557,services,19632.31,0.497,4,84.38,32334.68,8.14,1,10387.57,-13.02,628,moderate,review
Company 1558,manufacturing,36297.38,0.467,24,90.59,62130.37,17.85,1,42178.3,-22.18,666,moderate,review
Company 1559,manufacturing,141574.08,1.225,32,47.24,201878.77,15.74,2,235313.31,20.25,599,moderate,review
Company 1560,services,79650.61,0.162,41,38.92,88257.34,46.7,3,84218.92,-9.15,601,moderate,review
Company 1561,services,46930.25,2.605,14,84.68,78512.94,72.02,3,26623.79,-0.69,541,high,denied
Company 1562,manufacturing,85576.74,1.208,37,47.96,150549.74,31.68,2,158219.21,-4.18,532,high,denied
Company 1563,services,57063.86,0.674,41,32.24,57801.16,18.13,0,121174.9,-4.5,624,moderate,approved
Company 1564,services,60479.68,0.409,40,87.76,119311.76,62.67,3,93148.1,-16.87,636,moderate,review
Company 1565,healthcare,101260.82,2.246,40,65.42,178437.2,32.11,2,144265.8,-3.54,599,moderate,denied
Company 1566,manufacturing,33459.99,0.351,49,52.86,35798.59,56.77,2,99176.31,14.74,628,low,review
Company 1567,technology,61837.74,4.227,33,30.8,14324.49,89.04,3,104742.08,4.94,428,high,denied
Company 1568,technology,46638.68,0.908,19,32.47,24556.89,31.22,3,116371.6,12.57,553,moderate,review
Company 1569,manufacturing,16840.08,2.808,22,85.48,26525.78,51.12,1,20510.14,-2.44,597,moderate,approved
Company 1570,manufacturing,28670.83,0.324,37,64.28,8922.16,77.61,4,73840.87,18.54,565,moderate,review
Company 1571,retail,209937.5,2.922,12,40.48,208388.19,67.25,0,537282.39,-2.63,486,high,denied
Company 1572,manufacturing,81452.77,1.862,30,55.1,101752.36,72.63,0,95239.09,-26.63,573,moderate,review
Company 1573,manufacturing,20767.18,0.159,29,41.57,36734.22,74.53,0,44434.24,9.75,604,moderate,review
Company 1574,services,17460.85,1.691,33,37.9,29849.61,53.59,2,38501.83,16.51,591,moderate,review
Company 1575,technology,54735.56,1.053,21,49.34,84956.6,53.25,2,87934.8,-3.39,612,moderate,review
Company 1576,technology,208761.81,0.05,37,68.47,182587.06,69.7,0,508220.23,22.99,668,moderate,review
Company 1577,healthcare,51564.75,2.573,4,44.7,19093.06,67.79,3,65343.52,-7.76,426,high,denied
Company 1578,services,170348.16,0.203,37,54.06,233774.52,65.31,2,291411.13,15.06,612,moderate,review
Company 1579,services,79343.72,0.063,40,63.46,35264.19,39.39,2,236077.67,31.17,701,moderate,review
Company 1580,services,87290.8,0.071,44,59.4,101824.5,79.57,3,82637.26,5.55,626,moderate,review
Company 1581,services,20566.6,0.134,46,39.0,40378.17,26.26,3,17881.77,1.6,655,moderate,review
Company 1582,retail,126755.88,1.723,18,32.72,145210.09,19.02,3,108439.24,3.41,526,high,denied
Company 1583,retail,45800.69,0.933,3,32.48,60757.27,36.06,6,137185.57,29.42,506,high,review
Company 1584,retail,119428.6,0.925,33,54.51,165694.45,27.84,3,107459.84,11.04,589,moderate,review
Company 1585,manufacturing,31215.31,0.05,5,80.32,52371.11,64.69,2,30453.6,37.16,589,moderate,review
Company 1586,services,68984.66,0.674,14,39.19,63911.76,25.79,3,154316.38,9.19,557,moderate,review
Company 1587,retail,79348.3,1.419,35,85.09,82940.31,64.08,4,190336.08,-4.81,554,moderate,review
Company 1588,manufacturing,52932.53,0.524,30,80.1,22991.08,51.19,2,96212.98,-3.75,639,moderate,review
Company 1589,retail,82754.71,0.254,30,30.28,104924.01,18.72,0,244678.59,5.92,588,moderate,review
Company 1590,technology,48381.96,0.459,37,31.87,32025.97,28.26,2,28897.2,-25.62,543,high,denied
Company 1591,technology,35623.19,1.272,9,43.65,37920.43,51.96,0,73100.65,-2.12,558,low,review
Company 1592,technology,216292.45,0.082,39,33.93,336650.26,70.98,3,436083.06,-1.79,560,moderate,review
Company 1593,services,138574.35,0.136,29,67.19,18483.44,40.84,0,180577.9,8.6,667,moderate,denied
Company 1594,retail,32575.25,0.187,21,32.77,38159.94,25.95,0,89536.38,34.13,683,moderate,denied
Company 1595,services,94348.95,0.103,23,86.19,40527.17,31.56,2,177584.0,5.82,694,moderate,review
Company 1596,healthcare,33052.65,1.156,25,64.51,20850.55,13.56,2,36881.82,-23.84,572,moderate,review
Company 1597,technology,23208.0,0.056,27,80.96,3851.49,7.26,3,16730.56,-8.71,681,moderate,review
Company 1598,technology,136905.69,0.528,17,82.55,57771.36,92.58,2,105115.81,8.93,628,moderate,review
Company 1599,services,15317.03,0.693,11,65.47,30244.94,13.68,6,42019.55,6.39,551,high,denied
Company 1600,retail,125678.8,0.743,9,94.78,251004.85,16.24,5,141485.66,29.37,635,moderate,review
Company 1601,services,48914.16,0.171,17,99.32,71791.85,83.39,0,135370.58,19.4,675,moderate,review
Company 1602,technology,50552.25,1.108,13,55.15,63823.63,64.72,2,40456.7,18.95,552,low,review
Company 1603,healthcare,83100.08,2.787,26,38.81,130991.76,44.25,6,245962.79,1.74,443,high,denied
Company 1604,services,95316.58,1.554,45,55.43,171898.98,63.41,5,246238.25,21.49,588,moderate,review
Company 1605,technology,30912.8,3.587,6,45.63,33592.3,89.15,0,24438.79,-8.44,465,high,denied
Company 1606,retail,106317.0,3.249,16,67.17,17759.15,13.94,3,76031.67,19.52,549,high,approved
Company 1607,services,65558.39,0.11,3,56.49,94918.85,26.93,2,164459.31,0.76,567,moderate,review
Company 1608,retail,21920.03,0.542,48,63.63,43198.79,82.43,1,15238.05,-16.72,587,high,denied
Company 1609,retail,52265.95,2.276,35,83.42,30852.62,75.26,3,60390.82,13.9,578,moderate,denied
Company 1610,retail,180777.67,0.062,12,49.18,177267.79,94.48,1,452509.02,25.96,599,moderate,review
Company 1611,retail,228953.87,0.272,21,67.62,180054.22,33.25,5,633961.84,-1.1,556,moderate,review
Company 1612,healthcare,106284.93,0.256,36,53.46,89480.03,90.04,0,257117.07,28.44,657,high,denied
Company 1613,healthcare,23103.17,0.075,47,84.95,33976.91,35.93,0,62949.95,-19.84,697,moderate,review
Company 1614,retail,88653.03,1.334,29,74.77,72604.03,69.36,3,168416.01,-12.95,559,low,review
Company 1615,services,118265.66,1.297,14,30.6,223292.64,84.45,0,289635.9,2.8,540,high,denied
Company 1616,technology,106998.1,1.586,35,76.2,171234.53,20.37,4,145567.26,-0.56,617,moderate,review
Company 1617,technology,112191.6,0.646,34,41.91,17112.51,23.51,3,276331.86,-5.01,549,high,denied
Company 1618,manufacturing,80066.31,0.611,32,80.71,132529.19,57.29,3,176094.02,7.01,599,moderate,review
Company 1619,services,56504.19,2.79,3,69.71,88622.82,80.94,2,109452.87,-2.93,486,high,denied
Company 1620,technology,36801.95,0.081,35,58.1,39795.35,12.11,3,109697.52,-0.38,639,moderate,review
Company 1621,technology,13116.83,0.848,1,78.58,13693.36,81.58,0,21963.46,9.18,621,moderate,review
Company 1622,manufacturing,78567.5,0.766,45,89.96,132582.74,35.88,4,160915.52,-5.01,639,moderate,review
Company 1623,services,69483.34,3.104,44,84.51,63027.78,41.56,3,123316.54,3.41,625,moderate,review
Company 1624,technology,93532.17,2.834,28,68.18,37691.45,35.59,0,107681.56,-4.68,575,moderate,review
Company 1625,retail,20536.62,0.36,32,80.59,14262.84,87.03,0,27229.79,-13.08,613,moderate,review
Company 1626,healthcare,100309.27,3.362,4,58.97,60575.22,16.77,4,295607.84,16.46,500,high,denied
Company 1627,retail,309785.71,0.68,43,85.23,431845.04,56.68,1,458568.39,30.62,685,moderate,denied
Company 1628,technology,63752.27,1.302,14,88.03,28042.03,18.33,0,140160.37,20.97,704,low,approved
Company 1629,technology,56992.09,2.67,13,39.61,75518.37,88.57,1,109296.19,9.98,432,high,denied
Company 1630,retail,76665.1,0.947,35,46.66,75540.98,76.81,4,208875.08,-4.62,511,high,denied
Company 1631,manufacturing,304330.52,1.08,47,48.9,515948.5,26.04,4,728635.79,0.7,609,moderate,review
Company 1632,services,26399.01,3.095,25,41.63,26966.53,31.8,2,18522.3,20.86,535,high,denied
Company 1633,manufacturing,70443.45,0.748,25,57.48,131491.68,39.34,3,97818.1,-29.22,564,moderate,review
Company 1634,healthcare,31579.83,1.625,27,43.51,57187.65,41.49,3,71995.2,-0.45,580,moderate,review
Company 1635,services,38653.64,1.936,15,71.69,17473.24,78.56,3,34919.39,16.01,544,high,denied
Company 1636,retail,57545.3,0.214,30,37.11,80777.26,55.81,3,101199.05,-12.07,564,high,denied
Company 1637,retail,175933.01,0.268,48,48.89,89336.5,43.52,2,227731.67,11.35,685,moderate,review
Company 1638,services,252910.89,0.646,19,76.59,420914.07,69.75,3,167398.07,10.65,597,moderate,approved
Company 1639,technology,85691.91,1.149,38,57.9,112074.22,46.21,2,256464.34,-16.81,577,moderate,review
Company 1640,healthcare,44299.3,1.702,38,59.5,29185.43,16.54,1,125075.16,6.3,651,moderate,review
Company 1641,healthcare,439850.9,0.053,42,85.85,252181.87,14.67,2,1041925.59,-4.26,717,moderate,review
Company 1642,technology,42529.64,1.848,36,98.92,38965.55,34.34,1,42638.71,11.24,676,moderate,review
Company 1643,manufacturing,37914.59,1.752,46,69.55,61473.72,59.26,1,112656.21,15.05,625,moderate,review
Company 1644,technology,14473.08,1.374,36,35.53,23340.84,17.14,1,30060.31,10.98,641,moderate,review
Company 1645,technology,182932.64,0.235,48,37.2,29893.91,54.51,5,533283.13,6.09,555,moderate,review
Company 1646,manufacturing,129909.91,2.152,36,97.8,87604.19,29.26,1,78783.51,9.33,693,moderate,review
Company 1647,retail,414258.08,0.05,42,77.55,374247.72,67.59,0,386783.15,-12.64,664,moderate,review
Company 1648,healthcare,19700.15,0.052,44,82.67,23888.51,7.54,1,43204.73,4.54,759,low,approved
Company 1649,services,192247.07,0.368,49,77.3,73842.35,47.21,3,532130.14,-6.95,622,moderate,review
Company 1650,services,63329.62,0.119,30,42.57,46676.32,9.7,1,59495.36,20.47,640,moderate,review
Company 1651,retail,114105.66,0.05,35,61.39,203408.67,34.75,2,147509.59,15.25,670,moderate,review
Company 1652,retail,16022.97,0.992,48,85.87,16110.13,6.4,3,31572.34,15.21,671,moderate,review
Company 1653,retail,193777.42,2.002,19,90.65,293354.23,47.22,0,581168.04,30.7,665,moderate,review
Company 1654,technology,112331.93,1.87,6,46.61,114699.79,74.03,1,280735.76,0.05,538,high,denied
Company 1655,services,58039.09,1.215,44,71.72,57079.52,14.02,2,163026.39,-3.24,612,moderate,review
Company 1656,retail,100316.97,0.216,31,41.0,128572.1,71.17,3,219446.52,-0.3,558,moderate,review
Company 1657,technology,32454.8,0.187,21,97.08,19238.97,57.58,2,87414.68,-19.03,647,moderate,review
Company 1658,services,37663.55,3.379,36,47.65,21642.38,50.41,4,66574.56,-17.85,468,high,denied
Company 1659,retail,41325.88,0.161,2,80.86,81815.84,58.95,2,33490.36,14.32,591,moderate,review
Company 1660,technology,13599.9,5.18,24,46.18,23814.58,35.23,0,30924.72,-15.93,473,high,denied
Company 1661,technology,119301.22,2.741,14,73.12,179158.73,68.93,2,239042.33,-11.12,496,high,denied
Company 1662,manufacturing,155324.99,0.632,15,76.15,56006.25,75.17,5,266129.97,3.47,541,moderate,review
Company 1663,healthcare,34163.9,0.633,48,52.99,5378.32,75.04,3,40568.85,-1.18,573,moderate,review
Company 1664,technology,79107.46,0.262,27,87.32,34275.98,29.25,8,194644.49,18.28,583,high,denied
Company 1665,services,48415.13,0.676,7,91.98,91102.21,63.85,0,123508.21,5.91,646,moderate,review
Company 1666,services,77856.23,0.11,18,89.85,128536.78,18.33,0,109813.41,-6.98,717,low,approved
Company 1667,services,36240.7,0.703,12,53.16,39641.69,49.59,3,102177.64,19.57,575,moderate,review
Company 1668,technology,29532.89,2.154,45,82.1,57313.98,5.24,2,42065.3,15.93,698,moderate,review
Company 1669,technology,138920.89,0.649,15,69.16,52582.39,22.42,1,106817.14,-16.16,639,moderate,review
Company 1670,services,56891.63,0.153,18,71.48,66130.03,61.86,2,52130.99,8.78,599,moderate,review
Company 1671,retail,301850.51,0.432,17,63.42,135265.86,83.69,2,524099.62,-5.73,561,moderate,review
Company 1672,manufacturing,62133.96,1.29,9,72.02,42388.68,9.41,1,43472.49,-6.12,600,moderate,review
Company 1673,healthcare,28542.16,0.326,39,39.5,53837.84,55.27,1,65533.69,33.04,610,moderate,review
Company 1674,technology,159779.93,0.605,29,58.62,279571.6,62.31,0,397490.86,6.86,631,moderate,review
Company 1675,healthcare,99174.89,0.271,22,42.44,29099.67,88.92,0,185821.1,1.74,549,high,denied
Company 1676,services,107097.86,0.479,20,49.61,61488.44,63.96,1,292738.2,6.27,593,low,review
Company 1677,healthcare,155201.65,0.192,33,38.95,190830.4,14.27,2,447867.92,18.11,602,moderate,review
Company 1678,retail,35516.87,2.71,5,44.87,7691.9,18.21,0,57500.13,-5.52,539,high,denied
Company 1679,services,54078.79,0.919,46,84.74,61928.91,62.22,0,39089.12,-2.96,638,moderate,review
Company 1680,manufacturing,52200.12,0.626,28,68.49,63190.01,24.41,3,56280.1,14.85,645,moderate,review
Company 1681,healthcare,21320.04,3.902,12,31.66,13918.52,88.55,0,45711.02,-17.75,417,high,denied
Company 1682,services,48490.73,2.056,27,85.2,31855.19,87.86,1,73437.31,19.86,595,moderate,review
Company 1683,healthcare,174399.44,0.121,42,93.66,93347.41,90.38,1,385862.85,-19.08,662,moderate,review
Company 1684,retail,72393.4,1.681,9,91.63,135939.26,31.37,3,156864.78,1.31,583,moderate,review
Company 1685,technology,20397.16,1.135,26,87.61,17110.26,69.53,1,41068.06,-18.98,600,moderate,review
Company 1686,technology,17245.88,1.775,30,99.46,20902.2,64.67,2,15427.84,-10.84,601,moderate,review
Company 1687,manufacturing,226799.32,0.415,40,71.05,152634.06,8.2,3,275513.15,24.47,694,moderate,review
Company 1688,manufacturing,55700.52,0.633,28,97.38,79933.68,28.9,1,80467.99,20.67,729,moderate,review
Company 1689,manufacturing,35670.23,1.715,37,96.42,10442.05,23.61,1,91353.07,22.27,716,moderate,review
Company 1690,retail,48088.9,1.53,38,51.93,11354.7,38.37,3,106062.81,-16.73,541,high,denied
Company 1691,healthcare,18364.12,0.831,44,90.44,27805.83,90.77,3,38791.18,-10.77,624,moderate,review
Company 1692,services,186927.5,1.569,18,85.47,276777.78,81.1,0,407566.13,10.1,594,moderate,review
Company 1693,technology,43719.86,0.097,35,84.31,26385.04,31.41,1,76859.73,15.73,690,low,approved
Company 1694,healthcare,178781.78,1.113,13,92.74,138482.35,52.7,2,107104.46,-6.99,597,moderate,review
Company 1695,healthcare,62400.05,0.05,42,56.89,119732.9,22.3,4,62574.88,-3.68,635,moderate,review
Company 1696,manufacturing,187892.56,0.079,47,58.0,56034.74,29.97,1,159850.61,-11.97,628,moderate,review
Company 1697,technology,73523.15,0.05,15,74.8,32936.86,10.85,1,48524.67,29.87,713,low,approved
Company 1698,healthcare,118490.27,2.735,28,81.65,108664.22,62.83,2,153882.32,-2.12,562,moderate,review
Company 1699,services,106433.37,1.838,41,91.58,67690.34,64.12,2,262818.63,5.47,619,moderate,review
Company 1700,healthcare,98580.9,1.043,2,91.31,131419.8,80.47,4,77664.95,6.25,568,moderate,review
Company 1701,services,79090.46,0.771,35,80.49,111687.07,83.44,2,61576.38,21.58,617,moderate,denied
Company 1702,services,49697.97,0.153,41,96.98,54674.6,19.41,1,40288.16,-9.29,757,low,approved
Company 1703,retail,277159.31,0.13,43,42.5,349574.08,71.87,0,325538.64,22.52,641,moderate,review
Company 1704,manufacturing,28982.59,1.2,10,96.52,26765.41,17.12,2,29142.51,-14.18,622,moderate,review
Company 1705,manufacturing,60080.83,1.724,38,34.49,92809.01,38.63,1,32137.4,22.49,627,moderate,review
Company 1706,services,60591.43,1.654,39,68.89,10905.68,51.4,2,72179.89,-20.73,578,moderate,review
Company 1707,technology,82615.5,3.502,1,36.31,57375.93,9.45,1,247081.17,3.43,523,high,review
Company 1708,retail,42464.42,0.638,35,69.76,59467.9,19.11,2,56953.97,29.38,642,moderate,review
Company 1709,services,77018.2,0.165,31,57.31,55940.3,29.4,3,79186.08,15.46,619,moderate,review
Company 1710,retail,52309.12,0.131,48,35.71,13036.32,16.48,0,90980.45,11.32,680,moderate,review
Company 1711,healthcare,16889.34,0.195,3,75.37,12760.33,89.07,3,18129.38,-10.73,555,moderate,review
Company 1712,retail,60333.44,3.319,48,81.18,87594.51,30.95,3,114580.02,-6.02,599,high,denied
Company 1713,services,24823.54,0.113,28,42.19,8235.74,50.11,2,37276.01,25.17,626,moderate,review
Company 1714,services,14950.37,0.795,14,78.61,22078.7,94.69,1,40995.46,12.09,614,moderate,review
Company 1715,retail,66802.69,2.957,19,42.53,105105.07,56.0,1,188370.11,18.35,540,high,denied
Company 1716,healthcare,88460.08,0.637,38,39.62,115623.64,42.03,3,201923.68,6.11,536,high,denied
Company 1717,retail,91250.01,0.128,49,40.32,51469.09,88.68,1,94830.27,0.77,624,moderate,review
Company 1718,manufacturing,94252.87,1.188,16,71.94,153637.95,25.02,1,158792.18,16.5,620,moderate,review
Company 1719,healthcare,12758.19,0.166,49,84.52,6474.03,21.16,1,16120.71,8.89,731,low,approved
Company 1720,services,20154.57,2.128,31,71.78,36702.68,53.18,0,50299.64,2.45,614,moderate,review
Company 1721,technology,290342.68,0.061,10,86.65,418856.14,43.46,1,166347.56,-16.21,625,moderate,approved
Company 1722,technology,25906.08,0.727,30,71.4,5284.01,76.73,2,55859.45,19.31,593,moderate,review
Company 1723,healthcare,97603.91,1.357,40,85.81,157986.13,8.78,4,127672.46,11.6,612,moderate,review
Company 1724,manufacturing,34559.92,0.169,3,98.36,36710.37,60.6,3,58838.66,-4.09,579,moderate,denied
Company 1725,manufacturing,63814.66,0.05,4,57.37,61264.17,68.96,1,83436.86,22.69,614,moderate,review
Company 1726,technology,36076.49,0.683,1,40.5,32431.73,92.47,3,50939.1,8.66,457,high,denied
Company 1727,retail,93829.34,0.488,28,39.48,117530.37,18.12,2,205102.18,8.95,587,moderate,review
Company 1728,services,66797.39,0.292,3,71.82,98639.65,27.16,3,132842.36,18.26,618,moderate,review
Company 1729,technology,41829.96,1.106,46,68.3,75392.47,88.92,1,46440.59,15.03,605,moderate,denied
Company 1730,retail,25844.74,1.253,7,42.9,15987.43,61.76,2,15741.88,9.41,514,high,denied
Company 1731,services,74177.74,2.689,4,91.75,96317.93,8.42,1,195833.27,2.17,608,moderate,review
Company 1732,technology,22693.3,4.147,13,96.97,31862.55,11.96,1,39276.81,34.75,634,high,denied
Company 1733,healthcare,84287.16,0.63,38,47.73,116494.51,75.69,3,172521.12,-6.01,529,high,denied
Company 1734,retail,489523.59,0.06,45,44.48,507489.71,56.07,0,842591.59,16.19,660,moderate,review
Company 1735,services,176334.15,0.255,13,44.97,148639.61,55.89,0,361017.81,3.74,598,moderate,review
Company 1736,healthcare,106369.94,0.05,26,57.12,164715.96,84.19,1,219912.53,11.82,579,moderate,review
Company 1737,services,55910.87,0.542,38,89.73,37461.33,26.7,0,30057.76,23.5,739,low,approved
Company 1738,technology,12695.44,0.1,40,71.72,6288.06,19.44,2,23272.61,0.33,655,moderate,review
Company 1739,manufacturing,20788.83,2.646,8,34.73,23638.46,60.24,1,36490.0,14.03,504,high,denied
Company 1740,healthcare,167081.05,0.061,42,63.11,101662.24,84.42,3,123563.75,8.98,618,moderate,review
Company 1741,technology,31830.97,1.54,43,36.32,5193.0,28.87,2,75270.85,-4.62,568,moderate,review
Company 1742,technology,34221.12,0.253,37,58.43,6775.57,66.32,2,37288.99,23.87,650,moderate,review
Company 1743,technology,52442.87,0.434,26,58.25,74496.14,18.71,5,33370.1,15.67,610,moderate,review
Company 1744,services,25600.39,1.618,20,75.38,49894.58,20.47,0,64203.16,-1.52,652,moderate,review
Company 1745,healthcare,22439.66,0.05,44,68.46,21629.76,86.14,2,59752.97,21.55,652,moderate,review
Company 1746,manufacturing,57504.63,0.176,43,91.23,21818.18,15.62,2,63354.97,-7.47,717,moderate,review
Company 1747,healthcare,29342.04,0.627,26,31.14,48542.23,7.19,2,65105.98,4.57,597,moderate,review
Company 1748,manufacturing,33096.58,0.971,37,84.18,19749.66,74.74,1,16957.91,-1.44,597,moderate,review
Company 1749,manufacturing,32049.83,0.638,20,31.59,63833.34,37.63,3,73806.75,16.27,540,high,denied
Company 1750,retail,90933.9,0.732,37,51.3,106411.03,40.7,4,151136.79,-2.2,564,moderate,review
Company 1751,manufacturing,49726.81,1.186,5,91.58,26952.02,76.99,0,123382.54,16.38,621,moderate,review
Company 1752,technology,51903.55,0.05,45,78.33,54104.73,21.19,0,76951.42,13.92,740,low,approved
Company 1753,services,96524.94,0.4,26,42.04,71160.54,63.53,2,132981.38,-0.63,544,high,denied
Company 1754,services,53442.86,0.605,30,64.35,84492.99,33.22,1,139056.3,32.45,713,low,approved
Company 1755,retail,47925.21,1.135,10,80.53,14427.89,14.38,4,28592.98,-6.18,576,moderate,approved
Company 1756,manufacturing,87234.95,0.604,26,95.61,150768.61,66.87,0,84435.79,-16.14,644,moderate,review
Company 1757,technology,102186.85,0.504,1,74.4,159200.99,33.68,1,156378.8,17.84,616,moderate,review
Company 1758,services,53228.07,0.33,44,31.73,92435.4,82.99,2,105968.86,-27.24,506,high,denied
Company 1759,services,63862.41,0.757,37,64.98,114983.51,87.71,1,32747.45,27.38,629,moderate,approved
Company 1760,services,32034.47,0.197,23,40.71,17188.99,81.41,3,62078.62,6.53,538,high,denied
Company 1761,retail,30075.12,0.081,41,33.34,32779.21,34.01,5,43495.58,-16.4,535,high,denied
Company 1762,technology,110781.82,2.213,40,71.9,189974.46,26.29,4,229872.85,-9.23,603,low,review
Company 1763,technology,85472.81,0.961,6,84.38,69834.46,85.35,2,236540.43,-19.51,537,low,review
Company 1764,technology,86183.91,0.101,3,32.52,18510.1,45.77,2,138082.14,10.74,545,high,denied
Company 1765,technology,74958.02,0.05,13,84.85,49030.44,68.7,2,141404.3,-14.9,608,moderate,review
Company 1766,technology,62128.66,1.009,1,79.45,34770.22,79.44,1,102945.62,12.53,578,moderate,review
Company 1767,services,104519.56,1.567,29,82.64,183235.22,29.99,2,83229.45,0.43,635,moderate,review
Company 1768,technology,126511.31,0.733,26,47.13,124146.57,15.72,6,314100.07,-2.13,510,high,denied
Company 1769,technology,124117.3,0.05,27,57.55,173607.1,61.23,2,336728.92,12.64,586,moderate,review
Company 1770,services,55236.41,0.203,4,38.38,106497.26,58.12,1,139674.46,14.35,566,moderate,review
Company 1771,manufacturing,181605.89,0.056,45,46.72,121395.71,29.32,3,521025.75,22.19,639,moderate,review
Company 1772,healthcare,71881.09,1.408,48,51.2,111148.24,57.62,0,120046.55,-4.51,595,moderate,review
Company 1773,manufacturing,99300.01,0.162,29,52.36,14224.91,76.13,3,211588.9,4.55,569,moderate,review
